Price,Address,Metro,Summary,General Information,Building Information
24 600 000 ₽,"Москва, САО, р-н Беговой, Ленинградский просп., 28",Белорусская,57 м²;Общая;31 м²;Жилая;9 м²;Кухня;5 из 8;Этаж;1940;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18-13 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1940;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;14;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
11 200 000 ₽,"Москва, ЗАО, р-н Кунцево, Бобруйская ул., 10К3",Молодежная,"42,3 м²;Общая;24,2 м²;Жилая;6 м²;Кухня;4 из 5;Этаж",Тип жилья;Вторичка;Планировка;Смежно-изолированная;Площадь комнат;13.3-10.9 м²;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Без ремонта;Вид из окон;Во двор,Год постройки;1964;Тип перекрытий;Железобетонные;Подъезды;4;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
4 316 895 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"15,3 м²;Общая;2 м²;Кухня;2 из 3;Этаж;1967;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;4,85 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Мусоропровод;Нет
42 000 000 ₽,"Москва, ЦАО, р-н Басманный, Большой Спасоглинищевский пер., 6/1",Китай-город,"88,7 м²;Общая;70 м²;Жилая;2 из 6;Этаж",Тип жилья;Вторичка;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
5 395 248 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"21,4 м²;Общая;18,4 м²;Жилая;2 м²;Кухня;1 из 2;Этаж",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу,Тип дома;Кирпичный;Мусоропровод;Нет
5 352 718 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"20,1 м²;Общая;2 из 3;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;4,5 м;Санузел;1 совмещенный;Ремонт;Косметический",Тип дома;Кирпичный;Парковка;Наземная
5 105 968 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"18,8 м²;Общая;15,8 м²;Жилая;2 м²;Кухня;7 из 10;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет
29 400 000 ₽,"Москва, ЦАО, р-н Пресненский, Садовая-Кудринская ул., 7",Баррикадная,"75,7 м²;Общая;12 м²;Кухня;5 из 8;Этаж;1944;Построен",Тип жилья;Вторичка;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт,Год постройки;1944;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
23 490 000 ₽,"Москва, ЦАО, р-н Мещанский, ул. Сущевский Вал, 66",Рижская,"70,4 м²;Общая;48,9 м²;Жилая;7,7 м²;Кухня;6 из 9;Этаж;1962;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19,7-17-12,2 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт",Год постройки;1962;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
6 620 029 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"26,6 м²;Общая;8 м²;Жилая;1 из 3;Этаж;1967;Построен",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный;Парковка;Наземная
3 521 700 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"14,8 м²;Общая;14 м²;Жилая;2 из 3;Этаж;1967;Построен",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный;Парковка;Наземная
20 200 000 ₽,"Москва, СВАО, р-н Марьина роща, 1-я Ямская ул., 6",Марьина роща,"50,1 м²;Общая;2 из 21;Этаж;2021;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Без ремонта;Вид из окон;На улицу","Год постройки;2021;Тип дома;Кирпичный;Лифты;2 пасс., 1 груз.;Аварийность;Нет;Парковка;Подземная"
6 462 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"16,5 м²;Общая;14,5 м²;Жилая;2 из 5;Этаж;1955;Построен","Тип жилья;Вторичка;Высота потолков;3,3 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет
19 490 000 ₽,"Москва, ЦАО, р-н Мещанский, ул. Сущевский Вал, 62",Марьина роща,"57,4 м²;Общая;37,6 м²;Жилая;6,3 м²;Кухня;5 из 8;Этаж;1963;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;13,2-13,2-11,2 м²;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт",Год постройки;1963;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
6 104 792 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С1",Бутырская,"22,3 м²;Общая;5 из 5;Этаж",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу,Тип дома;Кирпичный;Лифты;Есть;Парковка;Наземная
7 161 000 ₽,"Москва, СВАО, р-н Останкинский, проезд Ольминского, 7",Алексеевская,"23,1 м²;Общая;2 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный
5 182 014 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"18,9 м²;Общая;15,9 м²;Жилая;2 м²;Кухня;8 из 10;Этаж;1963;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет
8 703 059 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,23 м²;Общая;19 м²;Жилая;3 м²;Кухня;4 из 4;Этаж,Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу,Тип дома;Кирпичный;Мусоропровод;Нет
6 999 998 ₽,"Москва, САО, р-н Левобережный, Ленинградское ш., 53Ак1",Речной вокзал,27 м²;Общая;27 м²;Жилая;2 из 4;Этаж,Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Без ремонта;Вид из окон;Во двор,Тип дома;Кирпичный
7 093 189 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,"16,1 м²;Общая;3 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Парковка;Наземная
7 191 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с4",Рязанский проспект,"25,5 м²;Общая;21,5 м²;Жилая;2 м²;Кухня;2 из 2;Этаж;2002;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт,Тип дома;Кирпичный;Парковка;Наземная
7 200 000 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"16,9 м²;Общая;13,9 м²;Жилая;2 м²;Кухня;1 из 10;Этаж",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет
7 161 000 ₽,"Москва, СВАО, р-н Останкинский, проезд Ольминского, 7",Алексеевская,"23,1 м²;Общая;2 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный
7 185 606 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,"16,1 м²;Общая;12,1 м²;Жилая;3 м²;Кухня;2 из 4;Этаж",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу,Тип дома;Кирпичный;Мусоропровод;Нет
7 604 013 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"30,1 м²;Общая;20 м²;Жилая;1 из 3;Этаж;1967;Построен",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный;Парковка;Наземная
7 785 000 ₽,"Москва, ВАО, р-н Соколиная гора, Щербаковская ул., 53К17",Измайлово,38 м²;Общая;2 из 4;Этаж,"Тип жилья;Вторичка Апартаменты;Высота потолков;3,9 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Лифты;2 пасс.;Парковка;Наземная
7 980 000 ₽,"Москва, СВАО, р-н Останкинский, проезд Ольминского, 7",Алексеевская,"28,5 м²;Общая;1 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Парковка;Наземная
8 160 000 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"33,1 м²;Общая;29,1 м²;Жилая;2 м²;Кухня;10 из 10;Этаж;1963;Построен","Тип жилья;Вторичка Апартаменты;Планировка;Изолированная;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет
8 282 976 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"34,7 м²;Общая;5 из 10;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Лифты;Есть;Парковка;Наземная
8 381 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"19,4 м²;Общая;11 м²;Жилая;5,5 м²;Кухня;5 из 6;Этаж;1955;Построен","Тип жилья;Вторичка;Площадь комнат;11 м²;Высота потолков;3,3 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная
8 381 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"19,4 м²;Общая;5 из 6;Этаж;1955;Построен","Тип жилья;Вторичка;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная
8 703 059 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,23 м²;Общая;19 м²;Жилая;3 м²;Кухня;4 из 4;Этаж,Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу,Тип дома;Кирпичный;Мусоропровод;Нет
9 000 000 ₽,"Москва, САО, р-н Дмитровский, Яхромская ул., 3",Селигерская,57 м²;Общая;37 м²;Жилая;8 м²;Кухня;3 из 3;Этаж;1943;Построен,"Тип жилья;Вторичка Апартаменты;Планировка;Смежно-изолированная;Площадь комнат;11-11+15 м²;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Тип дома;Кирпичный;Парковка;Наземная;Мусоропровод;Есть
10 491 351 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,"25,4 м²;Общая;21,4 м²;Жилая;3 м²;Кухня;2 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,6 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Мусоропровод;Нет
10 491 351 ₽,"Москва, ЮАО, р-н Даниловский, 2-я Рощинская ул., 10",Тульская,"25,4 м²;Общая;2 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,5 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный
11 200 000 ₽,"Москва, ЗАО, р-н Кунцево, Бобруйская ул., 10К3",Молодежная,"42,3 м²;Общая;24,2 м²;Жилая;6 м²;Кухня;4 из 5;Этаж",Тип жилья;Вторичка;Планировка;Смежно-изолированная;Площадь комнат;13.3-10.9 м²;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Без ремонта;Вид из окон;Во двор,Год постройки;1964;Тип перекрытий;Железобетонные;Подъезды;4;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
11 500 000 ₽,"Москва, СВАО, р-н Останкинский, 2-я Новоостанкинская ул., 27",Улица Академика Королева,"29,3 м²;Общая;16 м²;Жилая;5,5 м²;Кухня;2 из 9;Этаж;1965;Построен",Тип жилья;Вторичка;Площадь комнат;16 м²;Санузел;1 раздельный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1965;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
13 000 000 ₽,"Москва, ЮАО, р-н Нагатино-Садовники, просп. Андропова, 44К2",Коломенская,"47,5 м²;Общая;28,7 м²;Жилая;5,6 м²;Кухня;1 из 8;Этаж;1964;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18,5-10,2 м²;Высота потолков;2,85 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1964;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
14 500 000 ₽,"Москва, ЮВАО, р-н Южнопортовый, ул. Трофимова, 15",Кожуховская,"41,5 м²;Общая;27,5 м²;Жилая;6 м²;Кухня;2 из 8;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;15-12.5 м²;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1962;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;10;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
14 990 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Доватора, 17",Спортивная,"33 м²;Общая;17,1 м²;Жилая;7,7 м²;Кухня;1 из 6;Этаж;1959;Построен",Тип жилья;Вторичка;Площадь комнат;17.1 м²;Санузел;1 раздельный;Ремонт;Евроремонт,Год постройки;1959;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;2;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
19 490 000 ₽,"Москва, ЦАО, р-н Мещанский, ул. Сущевский Вал, 62",Марьина роща,"57,4 м²;Общая;37,6 м²;Жилая;6,3 м²;Кухня;5 из 8;Этаж;1963;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;13,2-13,2-11,2 м²;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт",Год постройки;1963;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
20 200 000 ₽,"Москва, СВАО, р-н Марьина роща, 1-я Ямская ул., 6",Марьина роща,"50,1 м²;Общая;2 из 21;Этаж;2021;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Без ремонта;Вид из окон;На улицу","Год постройки;2021;Тип дома;Кирпичный;Лифты;2 пасс., 1 груз.;Аварийность;Нет;Парковка;Подземная"
20 590 000 ₽,"Москва, ЮЗАО, р-н Ломоносовский, ул. Крупской, 4К3",Университет,"74,2 м²;Общая;50,6 м²;Жилая;8,5 м²;Кухня;1 из 8;Этаж;1958;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19,7-15,7-15,2 м²;Санузел;1 раздельный;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1958;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
23 306 388 ₽,"Москва, ЦАО, р-н Красносельский, Краснопрудная ул., 1",Комсомольская,"55 м²;Общая;33,7 м²;Жилая;8,6 м²;Кухня;5 из 9;Этаж;1961;Построен","Тип жилья;Вторичка;Площадь комнат;20.4-13.3 м²;Высота потолков;2,8 м;Санузел;1 раздельный;Ремонт;Евроремонт",Год постройки;1961;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Газоснабжение;Центральное
23 490 000 ₽,"Москва, ЦАО, р-н Мещанский, ул. Сущевский Вал, 66",Рижская,"70,4 м²;Общая;48,9 м²;Жилая;7,7 м²;Кухня;6 из 9;Этаж;1962;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19,7-17-12,2 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт",Год постройки;1962;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
24 600 000 ₽,"Москва, САО, р-н Беговой, Ленинградский просп., 28",Белорусская,57 м²;Общая;31 м²;Жилая;9 м²;Кухня;5 из 8;Этаж;1940;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18-13 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1940;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;14;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
5 500 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,20 м²;Общая;15 м²;Жилая;5 из 6;Этаж;2020;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;3,4 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу","Тип дома;Кирпичный;Лифты;1 пасс., 1 груз.;Парковка;Наземная"
4 612 118 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"17,8 м²;Общая;2 м²;Кухня;2 из 3;Этаж;1967;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;4,85 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Мусоропровод;Нет
72 000 000 ₽,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Сокол,135 м²;Общая;14 из 57;Этаж;2006;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;2006;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;4 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
244 000 000 ₽,"Москва, ЦАО, р-н Тверской, 3-я Тверская-Ямская ул., 25",Маяковская,238 м²;Общая;7 из 7;Этаж,"Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,2 м;Санузел;3 совмещенных;Ремонт;Дизайнерский",Год постройки;1900;Тип дома;Кирпичный;Подъезды;1;Лифты;Есть;Аварийность;Нет
250 000 000 ₽,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Сокол,"552,1 м²;Общая;44 из 57;Этаж;2006;Построен","Тип жилья;Вторичка Пентхаус;Санузел;4 совмещенных, 2 раздельных;Балкон/лоджия;1 балкон, 1 лоджия;Ремонт;Без ремонта;Вид из окон;На улицу и двор","Год постройки;2006;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;4 пасс., 2 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Подземная;Мусоропровод;Есть"
330 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Саввинская наб., 13",Киевская,"257,1 м²;Общая;8 из 9;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;4 раздельных;Ремонт;Без ремонта;Вид из окон;Во двор,Год постройки;2021;Аварийность;Нет;Парковка;Многоуровневая
26 000 000 ₽,"Москва, ЗАО, р-н Дорогомилово, пл. Победы, 1кА",Парк Победы,50 м²;Общая;29 м²;Жилая;9 м²;Кухня;7 из 12;Этаж;1958;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Вид из окон;Во двор,"Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;2 пасс., 2 груз.;Отопление;Центральное;Аварийность;Нет"
6 230 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"13,7 м²;Общая;2 из 5;Этаж;1955;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;3,4 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная
53 000 000 ₽,"Москва, ЦАО, р-н Якиманка, Житная ул., 10",Добрынинская,67 м²;Общая;40 м²;Жилая;11 м²;Кухня;5 из 7;Этаж;1946;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20-10-10 м²;Высота потолков;3,2 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1946;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Газоснабжение;Центральное
7 191 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с4",Рязанский проспект,"25,5 м²;Общая;21,5 м²;Жилая;2 м²;Кухня;2 из 2;Этаж;2002;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт,Тип дома;Кирпичный;Парковка;Наземная
7 200 000 ₽,"Москва, СВАО, р-н Останкинский, Шереметьевская ул., 85С2",Бутырская,"16,9 м²;Общая;13,9 м²;Жилая;2 м²;Кухня;1 из 10;Этаж",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет
7 604 013 ₽,"Москва, ВАО, р-н Соколиная гора, Вольная ул., 25",Семеновская,"30,1 м²;Общая;20 м²;Жилая;1 из 3;Этаж;1967;Построен",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный;Парковка;Наземная
8 381 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"19,4 м²;Общая;11 м²;Жилая;5,5 м²;Кухня;5 из 6;Этаж;1955;Построен","Тип жилья;Вторичка;Площадь комнат;11 м²;Высота потолков;3,3 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная
36 500 000 ₽,"Москва, ЦАО, р-н Таганский, Серебрянический пер., 4С1",Китай-город,"77,8 м²;Общая;41 м²;Жилая;8 м²;Кухня;3 из 3;Этаж;1830;Построен",Тип жилья;Вторичка;Ремонт;Без ремонта;Вид из окон;На улицу и двор,Год постройки;1830;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
5 999 500 ₽,"Москва, ЦАО, р-н Басманный, Центросоюзный пер., 13С2",Бауманская,"16,9 м²;Общая;4 из 4;Этаж;2022;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт,Тип дома;Кирпичный;Парковка;Наземная
59 990 000 ₽,"Москва, ЦАО, р-н Мещанский, Протопоповский пер., 16",Проспект Мира,128 м²;Общая;69 м²;Жилая;15 м²;Кухня;7 из 16;Этаж;1977;Построен,"Тип жилья;Вторичка;Высота потолков;2,7 м;Санузел;2 совмещенных;Балкон/лоджия;3 лоджии;Ремонт;Без ремонта;Вид из окон;На улицу и двор",Год постройки;1977;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
46 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Средний Кисловский пер., 5/6С14",Арбатская,103 м²;Общая;76 м²;Жилая;10 м²;Кухня;2 из 4;Этаж;1928;Построен,Тип жилья;Вторичка;Площадь комнат;14-15-15-15-17 м²;Санузел;1 раздельный;Ремонт;Косметический,Год постройки;1928;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
149 999 000 ₽,"Москва, ЦАО, р-н Замоскворечье, ул. Бахрушина, 19С2",Павелецкая,211 м²;Общая;132 м²;Жилая;21 м²;Кухня;6 из 8;Этаж;1998;Построен,"Тип жилья;Вторичка;Высота потолков;3,2 м;Санузел;2 совмещенных;Балкон/лоджия;2 балкона;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1998;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
