Price,Address,Metro,Summary,General Information,Building Information
15 999 777 ₽,"Москва, ВАО, р-н Северное Измайлово, 15-я Парковая ул., 49",Щелковская,"79,9 м²;Общая;52,7 м²;Жилая;9 м²;Кухня;1 из 17;Этаж;2004;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19-18.9-14.8 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон, 2 лоджии;Ремонт;Без ремонта;Вид из окон;На улицу и двор","Год постройки;2004;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет"
14 345 100 ₽,"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 170Ек7",Лесопарковая,"56,7 м²;Общая;3 из 26;Этаж;2023;Срок сдачи;Предчистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,6 м","Сдача комплекса;Сдача в 1 кв. 2023, есть сданные;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;11 корпусов;Тип дома;Панельный;Парковка;Отдельная многоуровневая;Отделка;Предчистовая, чистовая"
16 100 000 ₽,"Москва, СЗАО, р-н Щукино, ул. Рогова, 16К1",Щукинская,75 м²;Общая;46 м²;Жилая;10 м²;Кухня;1 из 16;Этаж;1983;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19-14-13 м²;Высота потолков;2,7 м;Санузел;1 раздельный;Вид из окон;На улицу и двор",Год постройки;1983;Строительная серия;П-3;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
17 900 000 ₽,"Москва, ЗАО, р-н Очаково-Матвеевское, Озерная ул., 19К2",Озерная,"63,6 м²;Общая;42,9 м²;Жилая;9,2 м²;Кухня;3 из 14;Этаж;1977;Построен","Тип жилья;Вторичка;Планировка;Смежно-изолированная;Площадь комнат;10.9-13.9+18.1 м²;Высота потолков;2,64 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон, 1 лоджия;Ремонт;Косметический;Вид из окон;Во двор",Год постройки;1977;Строительная серия;И-209А;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная
16 500 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Мневники, 7К2",Народное ополчение,51 м²;Общая;30 м²;Жилая;9 м²;Кухня;2 из 17;Этаж,Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский,Год постройки;1988;Строительная серия;П-44;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;4 всего;Отопление;Центральное;Аварийность;Нет
10 549 000 ₽,"Москва, ЮАО, р-н Чертаново Южное, Зеленая Вертикаль жилой комплекс, 4",Лесопарковая,"38,5 м²;Общая;9 из 26;Этаж;2023;Срок сдачи;Предчистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,6 м","Сдача комплекса;Сдача в 1 кв. 2023, есть сданные;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;11 корпусов;Тип дома;Панельный;Парковка;Отдельная многоуровневая;Отделка;Предчистовая, чистовая"
15 000 000 ₽,"Москва, ЮЗАО, р-н Коньково, ул. Островитянова, 9К4",Коньково,"38,7 м²;Общая;19 м²;Жилая;7,3 м²;Кухня;14 из 17;Этаж;2001;Построен","Тип жилья;Вторичка;Площадь комнат;19 м²;Высота потолков;2,75 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу","Год постройки;2001;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая"
11 176 335 ₽,"Москва, НАО (Новомосковский), Филимонковское поселение, Середневский Лес жилой комплекс, к3/2",Рассказовка,"80,9 м²;Общая;38,2 м²;Жилая;19,1 м²;Кухня;2 из 14;Этаж;4 кв. 2024;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка;Площадь комнат;14.4-12.8-11 м²;Высота потолков;2,8 м;Санузел;2 совмещенных;Вид из окон;На улицу и двор;Отделка;Чистовая","Сдача комплекса;Сдача в 2023—2024, есть сданные;Застройщик;ПИК;Класс;Комфорт;Кол-во корпусов;8 корпусов;Тип дома;Панельный;Парковка;Гостевая;Отделка;Чистовая"
15 800 000 ₽,"Москва, ЗАО, р-н Можайский, Можайское ш., 17",Давыдково,"53,8 м²;Общая;31,8 м²;Жилая;9,5 м²;Кухня;2 из 16;Этаж;1982;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;17.5-14.3 м²;Высота потолков;2,64 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор","Год постройки;1982;Строительная серия;Индивидуальный проект;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть"
4 400 000 ₽,"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2",Владыкино,17 м²;Общая;12 м²;Жилая;3 м²;Кухня;12 из 16;Этаж;1980;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;2,7 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу","Тип дома;Панельный;Лифты;4 пасс., 2 груз.;Парковка;Наземная"
19 263 480 ₽,"Москва, САО, р-н Хорошевский, Хорошевское ш., 40АС2",Беговая,"45,8 м²;Общая;22 из 25;Этаж;2022;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,85 м;Отделка;Чистовая",Сдача комплекса;Сдача в 4 кв. 2022;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;5 корпусов;Тип дома;Панельный;Парковка;Подземная;Отделка;Чистовая
19 204 960 ₽,"Москва, САО, р-н Хорошевский, Хорошевское ш.",Беговая,"46,4 м²;Общая;24 из 25;Этаж;2022;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,85 м;Отделка;Чистовая",Сдача комплекса;Сдача в 4 кв. 2022;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;5 корпусов;Тип дома;Панельный;Парковка;Подземная;Отделка;Чистовая
20 270 400 ₽,"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 170Ек7",Лесопарковая,"98,4 м²;Общая;3 из 26;Этаж;2023;Срок сдачи;Предчистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,6 м","Сдача комплекса;Сдача в 1 кв. 2023, есть сданные;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;11 корпусов;Тип дома;Панельный;Парковка;Отдельная многоуровневая;Отделка;Предчистовая, чистовая"
9 500 000 ₽,"Москва, ЦАО, р-н Таганский, Нижегородская ул., 32С15",Калитники,43 м²;Общая;5 из 10;Этаж;2021;Построен,Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Без ремонта;Вид из окон;На улицу,"Год постройки;2021;Тип дома;Панельный;Лифты;1 пасс., 1 груз.;Аварийность;Нет;Парковка;Открытая"
10 741 500 ₽,"Москва, ЮАО, р-н Чертаново Южное, Зеленая Вертикаль жилой комплекс, 4",Лесопарковая,"38,5 м²;Общая;25 из 26;Этаж;2023;Срок сдачи;Предчистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,6 м","Сдача комплекса;Сдача в 1 кв. 2023, есть сданные;Застройщик;Э.К. Девелопмент;Класс;Комфорт;Кол-во корпусов;11 корпусов;Тип дома;Панельный;Парковка;Отдельная многоуровневая;Отделка;Предчистовая, чистовая"
7 650 000 ₽,"Москва, НАО (Новомосковский), Десеновское поселение, ул. 2-я Нововатутинская, 3",,"36,6 м²;Общая;17,9 м²;Жилая;10,2 м²;Кухня;8 из 17;Этаж;2013;Построен",Тип жилья;Вторичка;Площадь комнат;17.9 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;2013;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть
11 300 000 ₽,"Москва, ЮАО, р-н Чертаново Центральное, ул. Красного Маяка, 11К5",Пражская,"48,6 м²;Общая;33,7 м²;Жилая;6 м²;Кухня;5 из 9;Этаж;1970;Построен","Тип жилья;Вторичка;Планировка;Смежная;Площадь комнат;14.4-10.4-8.9 м²;Высота потолков;2,65 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор",Год постройки;1971;Строительная серия;II-49;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
