Price,Address,Metro,Summary,General Information,Building Information,Price per meter
5 500 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,20 м²;Общая;15 м²;Жилая;5 из 6;Этаж;2020;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;3,4 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу","Тип дома;Кирпичный;Лифты;1 пасс., 1 груз.;Парковка;Наземная",275 000 ₽/м²
5 500 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,16 м²;Общая;12 м²;Жилая;3 из 6;Этаж;2020;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;16 м²;Высота потолков;3,4 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор",Тип дома;Кирпичный;Лифты;Есть;Парковка;Наземная;Мусоропровод;Есть,343 750 ₽/м²
5 500 000 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,20 м²;Общая;15 м²;Жилая;5 м²;Кухня;5 из 6;Этаж;2020;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;3,4 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор","Тип дома;Кирпичный;Лифты;1 пасс., 1 груз.;Парковка;Наземная",275 000 ₽/м²
5 899 000 ₽,"Москва, СВАО, р-н Марфино, Гостиничный проезд, 8К1",Окружная,18 м²;Общая;8 м²;Жилая;6 м²;Кухня;2 из 5;Этаж,Тип жилья;Вторичка Апартаменты;Площадь комнат;8 м²;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Косметический,Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Есть,327 722 ₽/м²
6 000 000 ₽,"Москва, СВАО, р-н Марфино, Гостиничная ул., 4Ак8",Владыкино,"19 м²;Общая;11,5 м²;Жилая;3 м²;Кухня;5 из 5;Этаж;1957;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу,Тип дома;Кирпичный;Лифты;Есть,315 789 ₽/м²
6 000 000 ₽,"Москва, СВАО, р-н Лосиноостровский, Минусинская ул., 11",Бабушкинская,17 м²;Общая;5 м²;Кухня;2 из 5;Этаж,Тип жилья;Вторичка;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Тип дома;Кирпичный,352 941 ₽/м²
6 000 000 ₽,"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 41А",Калужская,20 м²;Общая;15 м²;Жилая;5 м²;Кухня;3 из 6;Этаж,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;3,6 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор",Тип дома;Кирпичный;Парковка;Наземная,300 000 ₽/м²
6 000 000 ₽,"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 41А",Калужская,20 м²;Общая;15 м²;Жилая;5 м²;Кухня;4 из 6;Этаж,"Тип жилья;Вторичка Апартаменты;Площадь комнат;15 м²;Высота потолков;3,6 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор",Тип дома;Кирпичный;Парковка;Наземная,300 000 ₽/м²
6 147 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"13,2 м²;Общая;11,2 м²;Жилая;1 м²;Кухня;2 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Площадь комнат;11.2 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,465 682 ₽/м²
6 162 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"13,3 м²;Общая;9 м²;Жилая;2 м²;Кухня;2 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Площадь комнат;9 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Парковка;Наземная,463 308 ₽/м²
